station_id,current_label,override_label (Yes/No),notes
ASN00007106,No,,
ASN00007107,No,,
ASN00007108,No,,
ASN00007110,No,,
ASN00007111,No,,
ASN00007112,No,,
ASN00007113,No,,
ASN00007114,No,,
ASN00007115,No,,
ASN00007116,No,,
ASN00007117,No,,
ASN00007118,No,,
ASN00007119,No,,
ASN00007120,No,,
ASN00007121,No,,
ASN00007122,No,,
ASN00007123,No,,
ASN00007124,No,,
ASN00007125,No,,
ASN00007126,No,,
ASN00007127,No,,
ASN00007128,No,,
ASN00007129,No,,
ASN00007130,No,,
ASN00007131,No,,
ASN00007132,No,,
ASN00007133,No,,
ASN00007134,No,,
ASN00007135,No,,
ASN00007136,No,,
ASN00007137,No,,
ASN00007139,No,,
ASN00007140,No,,
ASN00007141,No,,
ASN00007142,No,,
ASN00007143,No,,
ASN00007144,No,,
ASN00007145,No,,
ASN00007146,No,,
ASN00007147,No,,
ASN00007148,No,,
ASN00007149,No,,
ASN00007150,No,,
ASN00007151,No,,
ASN00007152,No,,
ASN00007153,No,,
ASN00007154,No,,
ASN00007155,No,,
ASN00007156,No,,
ASN00007157,No,,
ASN00007158,No,,
ASN00007159,No,,
ASN00007160,No,,
ASN00007161,No,,
ASN00007162,No,,
ASN00007164,No,,
ASN00007165,No,,
ASN00007166,No,,
ASN00007167,No,,
ASN00007168,No,,
ASN00007169,No,,
ASN00007170,No,,
ASN00007171,No,,
ASN00007172,No,,
ASN00007173,No,,
ASN00007174,No,,
ASN00007175,No,,
ASN00007176,No,,
ASN00007177,No,,
ASN00007178,No,,
ASN00007179,No,,
ASN00007180,No,,
ASN00007181,No,,
ASN00007184,No,,
ASN00007185,No,,
ASN00007186,No,,
ASN00007187,No,,
ASN00007190,No,,
ASN00007191,No,,
ASN00007192,No,,
ASN00007193,No,,
ASN00007194,No,,
ASN00007195,No,,
ASN00007196,No,,
ASN00007197,No,,
ASN00007198,No,,
ASN00007199,No,,
ASN00007200,No,,
ASN00007201,No,,
ASN00007202,No,,
ASN00007204,No,,
ASN00007205,No,,
ASN00007300,No,,
ASN00007500,No,,
ASN00007600,No,,
ASN00008000,No,,
ASN00008001,No,,
ASN00008002,No,,
ASN00008003,No,,
ASN00008004,No,,
ASN00008005,No,,
ASN00008006,No,,
ASN00008007,No,,
ASN00008008,No,,
ASN00008009,No,,
ASN00008010,No,,
ASN00008011,No,,
ASN00008012,No,,
ASN00008013,No,,
ASN00008014,No,,
ASN00008015,No,,
ASN00008016,No,,
ASN00008017,No,,
ASN00008018,No,,
ASN00008019,No,,
ASN00008020,No,,
ASN00008021,No,,
ASN00008022,No,,
ASN00008023,No,,
ASN00008024,No,,
ASN00008025,No,,
ASN00008026,No,,
ASN00008027,No,,
ASN00008028,No,,
ASN00008029,No,,
ASN00008030,No,,
ASN00008031,No,,
ASN00008032,No,,
ASN00008033,No,,
ASN00008034,No,,
ASN00008035,No,,
ASN00008036,No,,
ASN00008037,No,,
ASN00008038,No,,
ASN00008039,No,,
ASN00008040,No,,
ASN00008041,No,,
ASN00008042,No,,
ASN00008043,No,,
ASN00008044,No,,
ASN00008045,No,,
ASN00008046,No,,
ASN00008047,No,,
ASN00008048,No,,
ASN00008049,No,,
ASN00008050,No,,
ASN00008051,No,,
ASN00008052,No,,
ASN00008053,No,,
ASN00008054,No,,
ASN00008055,No,,
ASN00008056,No,,
ASN00008057,No,,
ASN00008058,No,,
ASN00008059,No,,
ASN00008060,No,,
ASN00008061,No,,
ASN00008062,No,,
ASN00008063,No,,
ASN00008064,No,,
ASN00008065,No,,
ASN00008066,No,,
ASN00008067,No,,
ASN00008068,No,,
ASN00008069,No,,
ASN00008070,No,,
ASN00008071,No,,
ASN00008072,No,,
ASN00008073,No,,
ASN00008074,No,,
ASN00008075,No,,
ASN00008076,No,,
ASN00008077,No,,
ASN00008078,No,,
ASN00008079,No,,
ASN00008080,No,,
ASN00008081,No,,
ASN00008082,No,,
ASN00008083,No,,
ASN00008084,No,,
ASN00008085,No,,
ASN00008086,No,,
ASN00008087,No,,
ASN00008088,No,,
ASN00008089,No,,
ASN00008090,No,,
ASN00008091,No,,
ASN00008092,No,,
ASN00008093,No,,
ASN00008094,No,,
ASN00008095,No,,
ASN00008096,No,,
ASN00008097,No,,
ASN00008098,No,,
ASN00008099,No,,
ASN00008100,No,,
ASN00008101,No,,
ASN00008102,No,,
ASN00008103,No,,
ASN00008104,No,,
ASN00008105,No,,
ASN00008106,No,,
ASN00008107,No,,
ASN00008108,No,,
ASN00008109,No,,
ASN00008110,No,,
ASN00008111,No,,
ASN00008112,No,,
ASN00008113,No,,
ASN00008114,No,,
ASN00008115,No,,
ASN00008116,No,,
ASN00008117,No,,
ASN00008118,No,,
ASN00008119,No,,
ASN00008120,No,,
ASN00008121,No,,
ASN00008122,No,,
ASN00008123,No,,
ASN00008124,No,,
ASN00008125,No,,
ASN00008126,No,,
ASN00008127,No,,
ASN00008128,No,,
ASN00008129,No,,
ASN00008130,No,,
ASN00008131,No,,
ASN00008132,No,,
ASN00008133,No,,
ASN00008134,No,,
ASN00008135,No,,
ASN00008136,No,,
ASN00008137,No,,
ASN00008138,No,,
ASN00008139,No,,
ASN00008140,No,,
ASN00008141,No,,
ASN00008142,No,,
ASN00008143,No,,
ASN00008144,No,,
ASN00008145,No,,
ASN00008146,No,,
ASN00008147,No,,
ASN00008148,No,,
ASN00008149,No,,
ASN00008150,No,,
ASN00008151,No,,
ASN00008152,No,,
ASN00008153,No,,
ASN00008154,No,,
ASN00008155,No,,
ASN00008156,No,,
ASN00008157,No,,
ASN00008158,No,,
ASN00008159,No,,
ASN00008160,No,,
ASN00008161,No,,
ASN00008162,No,,
ASN00008163,No,,
ASN00008164,No,,
ASN00008165,No,,
ASN00008166,No,,
ASN00008167,No,,
ASN00008168,No,,
ASN00008169,No,,
ASN00008170,No,,
ASN00008171,No,,
ASN00008173,No,,
ASN00008174,No,,
ASN00008175,No,,
ASN00008176,No,,
ASN00008177,No,,
ASN00008178,No,,
ASN00008179,No,,
ASN00008180,No,,
ASN00008181,No,,
ASN00008182,No,,
ASN00008183,No,,
ASN00008184,No,,
ASN00008185,No,,
ASN00008186,No,,
ASN00008187,No,,
ASN00008188,No,,
ASN00008189,No,,
ASN00008190,No,,
ASN00008191,No,,
ASN00008192,No,,
ASN00008193,No,,
ASN00008194,No,,
ASN00008195,No,,
ASN00008196,No,,
ASN00008197,No,,
ASN00008198,No,,
ASN00008199,No,,
ASN00008200,No,,
ASN00008201,No,,
ASN00008202,No,,
ASN00008203,No,,
ASN00008204,No,,
ASN00008205,No,,
ASN00008206,No,,
ASN00008207,No,,
ASN00008208,No,,
ASN00008209,No,,
ASN00008210,No,,
ASN00008211,No,,
ASN00008212,No,,
ASN00008213,No,,
ASN00008214,No,,
ASN00008215,No,,
ASN00008216,No,,
ASN00008218,No,,
ASN00008219,No,,
ASN00008220,No,,
